Rank,StartTime,Flgs,Dur,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,SrcPkts,DstPkts,SrcBytes,DstBytes,PCRatio,SrcLoad,DstLoad,SrcLoss,DstLoss,SrcRetra,DstRetra,SrcGap,DstGap,SIntPkt,DIntPkt,SrcJitter,DstJitter,State,SrcWin,DstWin
3041,1483144106.568575, e        ,4.999400,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xa3fa,0x1c77,Status,10,6,610,396,-0.014085,878.505371,528.063354,0,0,0,0,0,0,500.001406,999.994187,477.862469,0.378417,CON,1868800,2048
3042,1483144109.547032, e        ,4.999987,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x03a4,0x05b9,Status,21,10,1278,725,-0.124620,1948.805054,1044.802734,0,0,0,0,0,0,281.963281,500.063406,404.031344,442.897969,CON,1868800,2048
3043,1483144111.568412, e        ,4.999687,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xadfa,0x2177,Status,10,5,610,330,0.076923,878.454956,422.426422,0,0,0,0,0,0,500.000094,1000.024813,477.933750,0.335945,CON,1868800,2048
3044,1483144114.569677, e        ,4.980563,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x17a4,0x0fb9,Status,20,10,1210,725,-0.174603,1847.180664,1048.877319,0,0,0,0,0,0,250.161047,499.984094,387.777875,443.518250,CON,1868800,2048
3045,1483144116.568421, e        ,4.999805,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xb7fa,0x2677,Status,10,5,610,330,0.076923,878.434265,422.416473,0,0,0,0,0,0,500.000000,1000.025375,478.001000,1.771866,CON,1868800,2048
3046,1483144119.572567, e        ,4.996372,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x2ca4,0x1ab9,Status,21,11,1264,791,-0.204893,1927.798706,1152.836426,0,0,0,0,0,0,238.985672,540.251188,380.783937,441.300437,CON,1868800,2048
3047,1483144121.568552, e        ,4.999899,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xc1fa,0x2b77,Status,10,5,610,330,0.076923,878.417786,422.408539,0,0,0,0,0,0,500.009313,1000.045000,477.840438,0.248564,CON,1868800,2048
3048,1483144124.606451, e        ,4.999941,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x41a4,0x24b9,Status,21,10,1276,725,-0.131498,1945.623047,1044.812378,0,0,0,0,0,0,239.878719,500.025500,380.677875,442.956156,CON,1868800,2048
3049,1483144126.568835, e        ,4.999684,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xcbfa,0x3077,Status,10,5,610,330,0.076923,878.455566,422.426697,0,0,0,0,0,0,500.002500,1000.013625,477.918187,0.343213,CON,1868800,2048
3050,1483144129.625638, e        ,4.980761,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x55a4,0x2eb9,Status,20,10,1210,725,-0.174603,1847.107300,1048.835693,0,0,0,0,0,0,250.000344,500.011188,387.562594,443.524313,CON,1868800,2048
3051,1483144131.568881, e        ,4.999470,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xd6fa,0x3577,Status,11,5,664,330,0.076923,966.502380,422.444763,0,0,0,0,0,0,456.529281,999.899625,475.802781,0.087492,CON,1868800,2048
3052,1483144134.626299, e        ,4.999371,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x69a4,0x39b9,Status,20,11,1210,804,-0.235294,1840.231445,1169.747192,0,0,0,0,0,0,249.999844,459.694000,387.416719,441.413563,CON,1868800,2048
3053,1483144137.546406, e        ,4.999991,192.168.1.66,192.168.1.110,tcp,56283,502,0,0,cs0,cs0,64,128,0,0,0xe1fa,0x3a77,Status,11,5,678,330,0.166667,987.201782,422.400757,0,0,0,0,0,0,543.458750,999.993375,476.044812,0.379595,CON,1868800,2048
3054,1483144139.626045, e        ,4.999653,192.168.1.66,192.168.1.120,tcp,53741,502,0,0,cs0,cs0,64,128,0,0,0x7ea4,0x43b9,Status,21,10,1264,725,-0.174603,1926.533813,1044.872559,0,0,0,0,0,0,239.014375,499.970406,381.003250,442.838750,CON,1868800,2048
